Time  1 - default sample rate [s]	Bladder [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
1.700	93.96	-202.52	505.28	-220.13	638.01	-178.89	-406.52	-229.75	496.42	633.00	-61.82	-28.64	15.94	-22.21	-12.64	31.28	
1.800	93.96	-202.55	505.29	-220.14	638.03	-178.91	-406.49	-229.76	496.41	632.96	-61.80	-28.70	15.91	-22.21	-12.64	31.29	
1.900	93.96	-202.51	505.30	-220.14	638.04	-178.90	-406.46	-229.75	496.42	632.96	-61.79	-28.77	15.90	-22.22	-12.64	31.28	
2.000	93.97	-202.48	505.29	-220.15	638.02	-178.87	-406.42	-229.74	496.45	633.01	-61.78	-28.80	15.90	-22.24	-12.63	31.26	
2.100	93.96	-202.50	505.32	-220.15	638.02	-178.77	-406.41	-229.74	496.47	633.02	-61.74	-28.77	15.91	-22.25	-12.60	31.25	
2.200	93.96	-202.58	505.34	-220.12	638.05	-178.79	-406.39	-229.77	496.42	632.96	-61.74	-28.74	15.95	-22.23	-12.59	31.25	
2.300	93.96	-202.63	505.38	-220.13	638.05	-178.87	-406.38	-229.75	496.40	632.92	-61.73	-28.70	15.98	-22.21	-12.60	31.24	
2.400	93.96	-202.62	505.40	-220.14	638.01	-178.95	-406.40	-229.69	496.38	632.92	-61.76	-28.71	15.98	-22.19	-12.62	31.25	
2.500	93.97	-202.59	505.34	-220.13	637.97	-178.95	-406.43	-229.67	496.35	632.92	-61.82	-28.71	15.96	-22.23	-12.63	31.28	
2.600	93.96	-202.58	505.28	-220.09	637.94	-178.92	-406.44	-229.68	496.39	632.91	-61.87	-28.75	15.92	-22.28	-12.63	31.28	
2.700	93.96	-202.55	505.28	-220.07	637.93	-178.88	-406.46	-229.65	496.46	632.95	-61.87	-28.76	15.92	-22.30	-12.64	31.27	
2.800	93.96	-202.52	505.31	-220.07	638.00	-178.83	-406.50	-229.63	496.50	633.00	-61.76	-28.62	15.97	-22.25	-12.67	31.22	
2.900	93.96	-202.54	505.35	-220.08	638.05	-178.82	-406.54	-229.70	496.50	633.00	-61.65	-28.45	15.99	-22.15	-12.67	31.14	
3.000	93.96	-202.57	505.33	-220.13	638.00	-178.92	-406.54	-229.76	496.46	632.99	-61.71	-28.49	15.92	-22.20	-12.64	31.05	
3.100	93.96	-202.55	505.32	-220.15	637.95	-178.99	-406.54	-229.80	496.44	632.96	-61.77	-28.53	15.88	-22.23	-12.63	31.02	
3.200	93.96	-202.56	505.37	-220.15	637.94	-179.00	-406.54	-229.78	496.43	632.95	-61.80	-28.52	15.88	-22.21	-12.66	31.07	
3.300	93.96	-202.61	505.39	-220.15	637.93	-178.98	-406.54	-229.74	496.45	632.96	-61.81	-28.56	15.86	-22.22	-12.73	31.23	
3.400	93.96	-202.60	505.33	-220.21	637.86	-178.92	-406.53	-229.76	496.41	632.97	-61.77	-28.54	15.86	-22.25	-12.78	31.38	
3.500	93.96	-202.58	505.27	-220.22	637.84	-178.90	-406.57	-229.77	496.35	632.98	-61.73	-28.56	15.88	-22.29	-12.77	31.40	
3.600	93.96	-202.57	505.21	-220.17	637.84	-178.89	-406.60	-229.73	496.33	632.99	-61.73	-28.65	15.92	-22.33	-12.74	31.33	
3.700	93.96	-202.62	505.18	-220.16	637.80	-178.97	-406.53	-229.71	496.42	632.99	-61.75	-28.70	15.93	-22.27	-12.71	31.18	
3.800	93.96	-202.60	505.23	-220.21	637.79	-179.01	-406.47	-229.76	496.39	633.01	-61.79	-28.71	15.93	-22.18	-12.70	30.94	
3.900	93.96	-202.53	505.28	-220.25	637.82	-178.99	-406.44	-229.78	496.40	633.03	-61.83	-28.71	15.93	-22.17	-12.74	30.81	
4.000	93.96	-202.48	505.30	-220.31	637.91	-178.94	-406.44	-229.72	496.45	633.05	-61.84	-28.72	15.91	-22.19	-12.78	30.77	
4.100	93.96	-202.44	505.29	-220.34	637.93	-178.93	-406.46	-229.70	496.47	633.04	-61.88	-28.70	15.86	-22.24	-12.77	30.79	
4.200	93.96	-202.39	505.27	-220.27	637.90	-178.92	-406.52	-229.68	496.45	633.05	-61.87	-28.65	15.88	-22.26	-12.71	30.79	
4.300	93.96	-202.42	505.28	-220.17	637.86	-178.85	-406.55	-229.68	496.40	633.03	-61.83	-28.66	15.91	-22.25	-12.63	30.75	
4.400	93.96	-202.50	505.32	-220.09	637.87	-178.75	-406.53	-229.70	496.40	633.00	-61.80	-28.74	15.92	-22.30	-12.50	30.71	
4.500	93.96	-202.54	505.32	-220.07	637.90	-178.77	-406.47	-229.73	496.46	632.94	-61.83	-28.84	15.94	-22.34	-12.44	30.70	
4.600	93.96	-202.50	505.27	-220.05	637.92	-178.84	-406.39	-229.72	496.47	632.91	-61.84	-28.83	15.93	-22.27	-12.53	30.72	
4.700	93.96	-202.46	505.26	-220.04	637.93	-178.87	-406.36	-229.73	496.50	632.89	-61.83	-28.78	15.93	-22.21	-12.65	30.80	
4.800	93.96	-202.48	505.23	-220.04	637.95	-178.91	-406.35	-229.77	496.55	632.89	-61.81	-28.77	15.93	-22.21	-12.77	30.90	
4.900	93.96	-202.53	505.25	-219.99	637.96	-178.90	-406.34	-229.76	496.50	632.95	-61.76	-28.75	15.94	-22.24	-12.81	30.87	
5.000	93.96	-202.56	505.32	-220.05	637.92	-178.91	-406.40	-229.81	496.40	632.90	-61.69	-28.71	16.01	-22.21	-12.79	30.78	
5.100	93.96	-202.59	505.32	-220.14	637.88	-178.96	-406.47	-229.84	496.34	632.86	-61.67	-28.69	16.03	-22.21	-12.76	30.75	
5.200	93.96	-202.59	505.34	-220.19	637.92	-178.94	-406.50	-229.80	496.35	632.89	-61.66	-28.62	16.03	-22.19	-12.67	30.71	
5.300	93.96	-202.54	505.36	-220.24	638.01	-178.86	-406.45	-229.75	496.43	633.00	-61.68	-28.57	16.00	-22.18	-12.61	30.69	
5.400	93.96	-202.53	505.37	-220.28	638.01	-178.86	-406.45	-229.70	496.46	633.07	-61.70	-28.62	15.96	-22.15	-12.62	30.75	
5.500	93.96	-202.53	505.33	-220.25	638.01	-178.89	-406.44	-229.67	496.44	633.03	-61.72	-28.70	15.97	-22.12	-12.63	30.82	
5.600	93.96	-202.48	505.33	-220.17	638.06	-178.88	-406.42	-229.71	496.46	632.94	-61.69	-28.70	16.01	-22.12	-12.65	30.91	
5.700	93.95	-202.40	505.37	-220.11	638.12	-178.80	-406.39	-229.71	496.53	632.94	-61.67	-28.63	16.00	-22.11	-12.65	30.95	
5.800	93.95	-202.38	505.37	-220.07	638.07	-178.78	-406.38	-229.67	496.54	632.98	-61.73	-28.63	15.94	-22.11	-12.63	30.97	
5.900	93.95	-202.43	505.37	-220.06	638.02	-178.80	-406.40	-229.68	496.47	633.00	-61.79	-28.67	15.92	-22.15	-12.59	31.01	
6.000	93.95	-202.49	505.38	-220.08	637.99	-178.86	-406.44	-229.71	496.42	633.00	-61.81	-28.71	15.92	-22.16	-12.58	31.02	
6.100	93.96	-202.50	505.36	-220.10	637.96	-178.90	-406.45	-229.78	496.39	632.98	-61.80	-28.70	16.02	-22.12	-12.60	31.01	
6.200	93.95	-202.54	505.34	-220.12	637.89	-178.87	-406.42	-229.82	496.38	632.96	-61.76	-28.67	16.06	-22.14	-12.61	31.05	
6.300	93.95	-202.56	505.34	-220.12	637.85	-178.85	-406.45	-229.80	496.44	632.97	-61.74	-28.64	16.00	-22.18	-12.61	31.11	
6.400	93.95	-202.57	505.31	-220.12	637.86	-178.85	-406.52	-229.72	496.45	633.01	-61.76	-28.59	15.94	-22.17	-12.61	31.12	
6.500	93.95	-202.57	505.24	-220.14	637.86	-178.88	-406.54	-229.69	496.38	633.05	-61.76	-28.58	15.96	-22.13	-12.63	31.12	
6.600	93.95	-202.58	505.21	-220.11	637.89	-178.92	-406.50	-229.68	496.37	633.05	-61.77	-28.69	15.94	-22.10	-12.65	31.14	
6.700	93.95	-202.56	505.20	-220.10	637.93	-178.91	-406.45	-229.71	496.41	633.06	-61.79	-28.77	15.94	-22.10	-12.58	31.21	
6.800	93.95	-202.52	505.26	-220.07	637.99	-178.83	-406.38	-229.70	496.51	633.06	-61.74	-28.74	15.93	-22.12	-12.38	31.40	
6.900	93.95	-202.49	505.39	-220.07	638.04	-178.75	-406.37	-229.65	496.54	633.06	-61.71	-28.65	15.92	-22.15	-12.21	31.52	
7.000	93.95	-202.53	505.45	-220.12	638.05	-178.75	-406.36	-229.66	496.48	633.07	-61.72	-28.62	15.92	-22.17	-12.15	31.51	
7.100	93.95	-202.54	505.44	-220.12	638.03	-178.77	-406.37	-229.67	496.46	633.05	-61.74	-28.64	15.93	-22.16	-12.15	31.49	
7.200	93.95	-202.45	505.37	-220.03	638.02	-178.79	-406.36	-229.68	496.50	633.02	-61.72	-28.70	15.99	-22.08	-12.13	31.46	
7.300	93.95	-202.38	505.31	-219.94	638.06	-178.78	-406.40	-229.70	496.55	633.01	-61.70	-28.71	16.01	-22.03	-12.12	31.49	
7.400	93.96	-202.43	505.26	-220.00	638.04	-178.83	-406.49	-229.73	496.51	633.00	-61.72	-28.65	16.02	-22.06	-12.20	31.44	
7.500	93.96	-202.50	505.21	-220.11	637.99	-178.87	-406.55	-229.75	496.44	632.98	-61.76	-28.63	16.03	-22.11	-12.28	31.35	
7.600	93.95	-202.54	505.22	-220.16	637.92	-178.87	-406.56	-229.76	496.42	633.02	-61.80	-28.64	16.04	-22.15	-12.31	31.30	
7.700	93.95	-202.51	505.30	-220.17	637.87	-178.86	-406.54	-229.75	496.47	633.05	-61.79	-28.65	16.07	-22.17	-12.34	31.27	
7.800	93.95	-202.53	505.32	-220.15	637.90	-178.87	-406.52	-229.74	496.52	632.98	-61.73	-28.71	16.05	-22.21	-12.38	31.25	
7.900	93.95	-202.54	505.30	-220.14	637.88	-178.84	-406.47	-229.78	496.51	632.93	-61.74	-28.76	16.01	-22.23	-12.39	31.27	
8.000	93.96	-202.56	505.24	-220.11	637.89	-178.80	-406.38	-229.79	496.45	632.92	-61.80	-28.75	15.96	-22.22	-12.29	31.43	
8.100	93.95	-202.55	505.25	-220.03	637.97	-178.74	-406.31	-229.75	496.34	632.99	-61.82	-28.67	15.93	-22.19	-12.11	31.64	
8.200	93.95	-202.53	505.27	-219.96	638.00	-178.69	-406.29	-229.66	496.38	633.04	-61.79	-28.69	15.95	-22.19	-12.03	31.70	
8.300	93.95	-202.56	505.29	-219.98	638.01	-178.70	-406.35	-229.64	496.44	633.08	-61.79	-28.73	15.96	-22.21	-12.09	31.59	
8.400	93.95	-202.61	505.28	-220.07	638.02	-178.74	-406.48	-229.67	496.47	633.06	-61.79	-28.77	15.94	-22.26	-12.33	31.30	
8.500	93.95	-202.62	505.29	-220.14	638.03	-178.78	-406.50	-229.66	496.45	633.02	-61.75	-28.78	15.97	-22.27	-12.60	31.08	
8.600	93.95	-202.53	505.32	-220.10	638.02	-178.82	-406.45	-229.67	496.48	633.02	-61.79	-28.73	16.01	-22.21	-12.74	30.92	
8.700	93.95	-202.44	505.32	-220.07	637.98	-178.84	-406.38	-229.68	496.49	633.04	-61.83	-28.71	16.03	-22.17	-12.78	30.83	
8.800	93.95	-202.40	505.37	-220.06	637.99	-178.79	-406.35	-229.63	496.50	633.11	-61.82	-28.70	16.02	-22.17	-12.77	30.76	
8.900	93.95	-202.41	505.43	-220.05	638.03	-178.75	-406.41	-229.57	496.48	633.11	-61.81	-28.66	16.02	-22.18	-12.71	30.69	
9.000	93.95	-202.46	505.40	-220.03	638.06	-178.78	-406.51	-229.60	496.40	633.04	-61.82	-28.67	16.05	-22.18	-12.73	30.66	
9.100	93.95	-202.47	505.36	-220.01	638.07	-178.78	-406.52	-229.67	496.37	632.99	-61.83	-28.68	16.05	-22.17	-12.79	30.65	
9.200	93.95	-202.50	505.38	-220.00	638.07	-178.74	-406.47	-229.71	496.38	632.97	-61.81	-28.70	16.04	-22.15	-12.87	30.66	
9.300	93.95	-202.58	505.42	-220.00	638.06	-178.73	-406.45	-229.64	496.44	632.97	-61.81	-28.67	16.04	-22.17	-12.91	30.67	
9.400	93.95	-202.63	505.38	-220.00	637.98	-178.77	-406.48	-229.68	496.47	632.99	-61.80	-28.68	16.05	-22.23	-12.92	30.64	
9.500	93.95	-202.64	505.32	-220.07	637.91	-178.81	-406.48	-229.75	496.47	632.99	-61.79	-28.70	16.05	-22.26	-12.91	30.59	
9.600	93.95	-202.61	505.29	-220.16	637.86	-178.81	-406.48	-229.80	496.43	632.97	-61.80	-28.73	16.03	-22.24	-12.91	30.57	
9.700	93.94	-202.57	505.32	-220.19	637.90	-178.80	-406.45	-229.78	496.45	633.00	-61.81	-28.72	16.02	-22.19	-12.94	30.58	
9.800	93.94	-202.53	505.37	-220.16	637.99	-178.84	-406.38	-229.72	496.47	633.03	-61.78	-28.75	16.00	-22.18	-12.96	30.58	
9.900	93.95	-202.52	505.37	-220.12	637.99	-178.85	-406.37	-229.70	496.49	633.02	-61.78	-28.80	15.96	-22.21	-12.96	30.58	
10.00	93.95	-202.55	505.32	-220.14	637.91	-178.85	-406.38	-229.69	496.52	633.01	-61.77	-28.84	15.91	-22.23	-12.96	30.56	
10.10	93.95	-202.55	505.34	-220.16	637.96	-178.85	-406.37	-229.70	496.52	633.07	-61.75	-28.84	15.90	-22.21	-12.97	30.55	
10.20	93.94	-202.57	505.38	-220.13	638.00	-178.83	-406.38	-229.75	496.48	633.15	-61.82	-28.90	15.89	-22.23	-12.99	30.54	
10.30	93.94	-202.63	505.38	-220.16	637.97	-178.85	-406.41	-229.81	496.45	633.19	-61.92	-28.91	15.91	-22.27	-12.98	30.56	
10.40	93.94	-202.70	505.34	-220.22	637.96	-178.86	-406.45	-229.79	496.43	633.16	-61.86	-28.86	15.97	-22.27	-12.97	30.58	
10.50	93.94	-202.70	505.34	-220.23	637.94	-178.85	-406.43	-229.78	496.45	633.04	-61.72	-28.82	15.96	-22.26	-12.97	30.57	
10.60	93.94	-202.70	505.33	-220.22	637.95	-178.84	-406.38	-229.79	496.48	632.97	-61.68	-28.80	15.95	-22.22	-12.95	30.54	
10.70	93.94	-202.71	505.30	-220.20	637.99	-178.80	-406.32	-229.78	496.51	632.96	-61.68	-28.81	15.98	-22.18	-12.95	30.54	
10.80	93.94	-202.69	505.32	-220.23	638.00	-178.79	-406.36	-229.76	496.52	632.96	-61.70	-28.78	15.98	-22.20	-12.95	30.54	
10.90	93.94	-202.73	505.33	-220.26	637.98	-178.85	-406.44	-229.76	496.50	632.92	-61.78	-28.73	15.97	-22.25	-12.95	30.55	
11.00	93.94	-202.81	505.27	-220.25	637.97	-178.89	-406.43	-229.75	496.46	632.93	-61.84	-28.74	15.98	-22.25	-12.94	30.58	
11.10	93.94	-202.79	505.28	-220.22	637.98	-178.88	-406.39	-229.74	496.47	632.96	-61.86	-28.76	16.00	-22.23	-12.93	30.59	
11.20	93.94	-202.68	505.39	-220.20	638.04	-178.88	-406.35	-229.73	496.50	632.98	-61.85	-28.78	15.99	-22.22	-12.93	30.59	
11.30	93.94	-202.58	505.37	-220.18	638.05	-178.88	-406.40	-229.70	496.55	633.02	-61.79	-28.76	15.99	-22.23	-12.94	30.57	
11.40	93.94	-202.58	505.29	-220.19	637.96	-178.85	-406.53	-229.73	496.54	633.02	-61.75	-28.78	15.98	-22.22	-12.95	30.56	
11.50	93.94	-202.63	505.25	-220.20	637.91	-178.83	-406.62	-229.77	496.49	632.96	-61.78	-28.80	15.96	-22.22	-12.94	30.57	
11.60	93.94	-202.67	505.22	-220.16	637.91	-178.81	-406.64	-229.79	496.45	632.93	-61.82	-28.82	15.96	-22.23	-12.93	30.58	
11.70	93.94	-202.66	505.19	-220.12	637.95	-178.82	-406.56	-229.75	496.48	633.00	-61.83	-28.86	15.97	-22.24	-12.91	30.58	
11.80	93.94	-202.67	505.15	-220.16	637.94	-178.86	-406.54	-229.74	496.45	633.03	-61.85	-28.87	15.97	-22.26	-12.91	30.58	
11.90	93.95	-202.68	505.14	-220.19	637.92	-178.88	-406.57	-229.78	496.41	633.01	-61.87	-28.88	15.93	-22.27	-12.93	30.58	
12.00	93.95	-202.66	505.23	-220.16	637.97	-178.87	-406.59	-229.82	496.44	632.98	-61.83	-28.87	15.92	-22.27	-12.94	30.58	
12.10	93.95	-202.63	505.25	-220.16	638.04	-178.79	-406.53	-229.81	496.51	632.93	-61.75	-28.84	15.92	-22.29	-12.97	30.57	
12.20	93.95	-202.63	505.25	-220.22	638.01	-178.78	-406.54	-229.80	496.54	632.93	-61.73	-28.83	15.92	-22.33	-13.00	30.55	
12.30	93.95	-202.69	505.27	-220.24	637.94	-178.79	-406.55	-229.81	496.52	632.99	-61.73	-28.79	15.93	-22.34	-12.99	30.54	
12.40	93.95	-202.73	505.28	-220.31	637.93	-178.83	-406.51	-229.83	496.48	633.01	-61.77	-28.78	15.91	-22.36	-12.97	30.55	
12.50	93.95	-202.69	505.25	-220.31	637.94	-178.90	-406.49	-229.84	496.47	632.97	-61.81	-28.81	15.88	-22.37	-12.94	30.56	
12.60	93.95	-202.67	505.28	-220.23	637.93	-178.90	-406.45	-229.80	496.53	632.97	-61.80	-28.78	15.89	-22.34	-12.92	30.56	
12.70	93.95	-202.66	505.30	-220.21	637.96	-178.88	-406.46	-229.79	496.53	632.97	-61.78	-28.78	15.94	-22.27	-12.92	30.57	
12.80	93.95	-202.67	505.24	-220.26	637.99	-178.89	-406.47	-229.76	496.44	632.98	-61.75	-28.79	15.98	-22.24	-12.95	30.58	
12.90	93.95	-202.68	505.25	-220.29	637.95	-178.86	-406.41	-229.75	496.46	633.04	-61.73	-28.83	15.96	-22.32	-12.97	30.57	
13.00	93.95	-202.70	505.26	-220.25	637.90	-178.81	-406.40	-229.73	496.50	633.09	-61.76	-28.88	15.87	-22.37	-12.97	30.56	
13.10	93.95	-202.72	505.25	-220.17	637.85	-178.86	-406.42	-229.71	496.48	633.07	-61.84	-28.89	15.80	-22.37	-12.98	30.55	
13.20	93.95	-202.75	505.24	-220.18	637.83	-178.92	-406.45	-229.76	496.48	633.06	-61.93	-28.86	15.76	-22.41	-12.97	30.55	
13.30	93.95	-202.73	505.22	-220.25	637.88	-178.90	-406.47	-229.80	496.50	633.03	-61.96	-28.83	15.75	-22.47	-12.94	30.56	
13.40	93.95	-202.65	505.21	-220.27	637.95	-178.87	-406.48	-229.79	496.49	633.02	-61.93	-28.82	15.82	-22.40	-12.95	30.53	
13.50	93.95	-202.60	505.23	-220.26	637.98	-178.85	-406.47	-229.74	496.51	633.01	-61.87	-28.84	15.87	-22.34	-12.95	30.52	
13.60	93.95	-202.60	505.28	-220.24	637.94	-178.86	-406.46	-229.69	496.51	632.95	-61.82	-28.83	15.89	-22.26	-12.94	30.54	
13.70	93.95	-202.66	505.32	-220.19	637.90	-178.88	-406.48	-229.70	496.47	632.92	-61.81	-28.79	15.91	-22.21	-12.92	30.57	
13.80	93.95	-202.70	505.35	-220.12	637.92	-178.85	-406.44	-229.75	496.42	632.94	-61.83	-28.82	15.98	-22.21	-12.91	30.59	
13.90	93.95	-202.77	505.30	-220.15	637.90	-178.86	-406.46	-229.80	496.39	632.93	-61.87	-28.83	16.02	-22.24	-12.90	30.59	
14.00	93.95	-202.77	505.21	-220.21	637.90	-178.88	-406.50	-229.84	496.35	632.93	-61.87	-28.77	15.96	-22.30	-12.90	30.59	
14.10	93.95	-202.68	505.16	-220.24	637.92	-178.97	-406.50	-229.79	496.31	632.95	-61.82	-28.74	15.87	-22.31	-12.92	30.61	
14.20	93.95	-202.66	505.16	-220.25	637.89	-179.03	-406.52	-229.75	496.31	632.89	-61.77	-28.76	15.89	-22.31	-12.95	30.60	
14.30	93.95	-202.67	505.20	-220.23	637.89	-178.99	-406.55	-229.74	496.36	632.85	-61.77	-28.76	15.95	-22.31	-12.96	30.58	
14.40	93.96	-202.70	505.25	-220.21	637.91	-178.89	-406.56	-229.70	496.39	632.85	-61.79	-28.75	15.96	-22.36	-12.96	30.57	
14.50	93.95	-202.68	505.27	-220.22	637.93	-178.86	-406.55	-229.71	496.37	632.88	-61.84	-28.75	15.90	-22.36	-12.96	30.58	
14.60	93.95	-202.62	505.30	-220.23	637.98	-178.87	-406.57	-229.78	496.42	632.94	-61.87	-28.87	15.88	-22.31	-12.97	30.59	
14.70	93.96	-202.64	505.30	-220.22	637.96	-178.85	-406.55	-229.80	496.45	632.95	-61.87	-28.93	15.90	-22.25	-13.00	30.60	
14.80	93.96	-202.68	505.32	-220.20	637.89	-178.80	-406.55	-229.83	496.45	632.96	-61.86	-28.89	15.94	-22.23	-13.01	30.61	
14.90	93.96	-202.66	505.38	-220.14	637.90	-178.75	-406.53	-229.81	496.46	633.00	-61.80	-28.81	15.98	-22.20	-12.99	30.59	
15.00	93.96	-202.63	505.36	-220.17	637.88	-178.77	-406.51	-229.81	496.48	632.98	-61.80	-28.83	16.05	-22.13	-12.97	30.57	
15.10	93.96	-202.63	505.32	-220.23	637.89	-178.78	-406.51	-229.79	496.46	632.95	-61.85	-28.89	16.07	-22.08	-12.95	30.59	
15.20	93.96	-202.63	505.30	-220.24	637.90	-178.74	-406.46	-229.75	496.41	632.95	-61.93	-28.88	16.05	-22.04	-12.95	30.58	
15.30	93.96	-202.60	505.30	-220.21	637.93	-178.76	-406.44	-229.73	496.42	632.95	-61.92	-28.79	16.05	-22.08	-12.95	30.57	
15.40	93.97	-202.56	505.36	-220.17	638.01	-178.81	-406.44	-229.71	496.47	632.97	-61.89	-28.77	16.05	-22.13	-12.95	30.56	
15.50	93.97	-202.56	505.38	-220.17	638.04	-178.83	-406.42	-229.74	496.48	632.99	-61.86	-28.80	16.02	-22.17	-12.95	30.56	
15.60	93.98	-202.58	505.33	-220.19	638.01	-178.81	-406.43	-229.79	496.46	633.01	-61.85	-28.84	15.97	-22.22	-12.95	30.57	
15.70	93.98	-202.62	505.32	-220.20	637.99	-178.80	-406.48	-229.80	496.42	633.02	-61.89	-28.86	15.95	-22.22	-12.95	30.59	
15.80	94.00	-202.66	505.38	-220.24	637.95	-178.80	-406.53	-229.83	496.39	632.99	-61.94	-28.83	15.98	-22.22	-12.95	30.60	
15.90	94.02	-202.68	505.41	-220.23	637.92	-178.81	-406.53	-229.81	496.40	632.95	-61.90	-28.75	16.02	-22.22	-12.96	30.60	
16.00	94.06	-202.66	505.44	-220.17	637.94	-178.83	-406.42	-229.74	496.44	632.98	-61.80	-28.69	16.04	-22.23	-12.98	30.57	
16.10	94.11	-202.62	505.47	-220.13	637.98	-178.86	-406.35	-229.73	496.49	633.04	-61.82	-28.72	16.03	-22.20	-12.96	30.56	
16.20	94.15	-202.63	505.42	-220.14	637.97	-178.87	-406.37	-229.76	496.47	633.03	-61.86	-28.81	16.02	-22.25	-12.94	30.59	
16.30	94.19	-202.65	505.37	-220.13	637.97	-178.86	-406.40	-229.78	496.45	633.01	-61.81	-28.86	16.00	-22.32	-12.94	30.60	
16.40	94.22	-202.57	505.42	-220.11	638.01	-178.86	-406.33	-229.76	496.47	633.00	-61.72	-28.84	16.02	-22.36	-12.95	30.59	
16.50	94.25	-202.45	505.49	-220.05	638.03	-178.87	-406.22	-229.67	496.52	632.98	-61.76	-28.80	16.03	-22.34	-12.92	30.59	
16.60	94.29	-202.42	505.56	-219.99	638.05	-178.93	-406.20	-229.65	496.49	633.00	-61.84	-28.78	16.04	-22.31	-12.91	30.58	
16.70	94.33	-202.39	505.63	-219.99	638.10	-178.93	-406.21	-229.69	496.44	633.06	-61.85	-28.76	16.07	-22.30	-12.91	30.58	
16.80	94.38	-202.38	505.65	-220.01	638.11	-178.92	-406.19	-229.70	496.46	633.08	-61.90	-28.76	16.09	-22.30	-12.92	30.56	
16.90	94.45	-202.34	505.60	-220.06	638.06	-178.96	-406.15	-229.71	496.49	633.07	-61.96	-28.74	16.03	-22.35	-12.93	30.55	
17.00	94.83	-202.31	505.63	-220.06	638.07	-179.07	-406.06	-229.78	496.53	633.10	-61.89	-28.70	16.01	-22.35	-12.93	30.53	
17.10	95.16	-202.28	505.70	-220.03	638.14	-179.14	-405.99	-229.84	496.56	633.11	-61.80	-28.65	16.01	-22.34	-12.93	30.51	
